type,page,url,follow
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-grove,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-athletic-swim-club-at-equitable-center,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/centre-club-tampa,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/lost-creek-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/ravinia-green-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/treesdale-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/east-lake-woodlands-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/woodside-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/blackstone-black-bear,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/firethorne-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/skyline-club-southfield,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/belmont-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/brookfield-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/countryside-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/university-center-club-at-florida-state-university,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/diamond-run-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/rivers-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/aliso-viejo-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/citrus-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-hasentree-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/canterwood-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/nags-head-golf-links,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-tower-club-tysons-corner,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/knollwood-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/town-point-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/magnolia-creek-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/mid-america-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/morgan-run-club-resort,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/nicklaus-golf-club-at-lionsgate,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/tpc-michigan,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/boston-college-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/canyon-gate-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/silver-lake-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/village-beach-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/oro-valley-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/hawkstone-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/ken-garff-scholarship-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/medina-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-club-at-falcon-point,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/seville-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-golf-trails-lake-windcrest,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/willow-creek-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/fair-oaks-ranch-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/cherry-valley-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/university-club-atop-symphony-towers,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/skyline-club-indianapolis,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/lake-windcrest-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/lochmere-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/silicon-valley-capital-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/willow-creek-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/city-club-los-angeles,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/pyramid-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/ford-s-colony-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/indian-wells-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-hills-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/north-hills-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/old-ranch-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/planterra-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/vista-vallarta-club-de-golf,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/april-sound-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/devils-ridge-golf-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/bernardo-heights-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/queen-s-harbour-yacht-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/brookstone-golf-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/golden-bear-golf-club-at-indigo-run,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/wildflower-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/river-creek-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/jupiter-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-university-of-texas-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/center-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/hunter-s-green-country-club,True
Hyperlink,https://www.clubcorp.com/find-a-club,https://www.clubcorp.com/clubs/the-ridge-club,True
